"","age","sex","date","responsetime1","responsetime2","still1","still2","method","sideCile1","sideCile2","picked_ball1","picked_ball2","condition","trial","correct_first","correct_second","correct_all","id","agecat"
"139",5,"male","2021-10-29_09h57.21.060",5.6476,6.985,"media/Naming/LinksSchmiSchmu/Standbild1.png","media/Naming/LinksSchmiSchmu/Standbild2.png","blossin","left","right","right","left","complex labeling",4,0,0,0,"complex labeling_2021-10-29_09h57.21.060","child"
"140",5,"male","2021-10-29_09h57.21.060",7.0042,6.5777,"media/Naming/RechtsSchmiSchmu/Standbild1.png","media/Naming/RechtsSchmiSchmu/Standbild2.png","blossin","right","left","right","left","complex labeling",5,1,1,1,"complex labeling_2021-10-29_09h57.21.060","child"
"141",5,"male","2021-10-29_09h57.21.060",5.5188,5.6105,"media/Naming/LinksSchmuSchmi/Standbild1.png","media/Naming/LinksSchmuSchmi/Standbild2.png","blossin","left","right","left","right","complex labeling",6,0,0,0,"complex labeling_2021-10-29_09h57.21.060","child"
"142",5,"male","2021-10-29_09h57.21.060",5.7117,5.5637,"media/Naming/LinksSchmuSchmi/Standbild1.png","media/Naming/LinksSchmuSchmi/Standbild2.png","blossin","left","right","left","right","complex labeling",7,1,1,1,"complex labeling_2021-10-29_09h57.21.060","child"
"143",5,"male","2021-10-29_09h57.21.060",4.6261,6.1112,"media/Naming/RechtsSchmuSchmi/Standbild1.png","media/Naming/RechtsSchmuSchmi/Standbild2.png","blossin","right","left","right","left","complex labeling",8,0,0,0,"complex labeling_2021-10-29_09h57.21.060","child"
"148",5,"female","2021-10-29_10h30.07.996",14.3386,15.9818,"media/Naming/RechtsSchmuSchmi/Standbild1.png","media/Naming/RechtsSchmuSchmi/Standbild2.png","blossin","right","left","right","left","complex labeling",1,1,1,1,"complex labeling_2021-10-29_10h30.07.996","child"
"149",5,"female","2021-10-29_10h30.07.996",16.1102,18.2851,"media/Naming/LinksSchmiSchmu/Standbild1.png","media/Naming/LinksSchmiSchmu/Standbild2.png","blossin","left","right","right","left","complex labeling",2,0,0,0,"complex labeling_2021-10-29_10h30.07.996","child"
"150",5,"female","2021-10-29_10h30.07.996",16.7608,17.4646,"media/Naming/RechtsSchmiSchmu/Standbild1.png","media/Naming/RechtsSchmiSchmu/Standbild2.png","blossin","right","left","right","left","complex labeling",3,1,1,1,"complex labeling_2021-10-29_10h30.07.996","child"
"151",5,"female","2021-10-29_10h30.07.996",21.4671,8.2405,"media/Naming/LinksSchmiSchmu/Standbild1.png","media/Naming/LinksSchmiSchmu/Standbild2.png","blossin","left","right","right","left","complex labeling",4,1,1,1,"complex labeling_2021-10-29_10h30.07.996","child"
"152",5,"female","2021-10-29_10h30.07.996",7.6828,10.1811,"media/Naming/LinksSchmuSchmi/Standbild1.png","media/Naming/LinksSchmuSchmi/Standbild2.png","blossin","left","right","right","left","complex labeling",5,0,0,0,"complex labeling_2021-10-29_10h30.07.996","child"
"153",5,"female","2021-10-29_10h30.07.996",9.6644,9.2218,"media/Naming/RechtsSchmiSchmu/Standbild1.png","media/Naming/RechtsSchmiSchmu/Standbild2.png","blossin","right","left","right","left","complex labeling",6,0,0,0,"complex labeling_2021-10-29_10h30.07.996","child"
"154",5,"female","2021-10-29_10h30.07.996",9.2497,9.0374,"media/Naming/LinksSchmuSchmi/Standbild1.png","media/Naming/LinksSchmuSchmi/Standbild2.png","blossin","left","right","left","right","complex labeling",7,0,0,0,"complex labeling_2021-10-29_10h30.07.996","child"
"155",5,"female","2021-10-29_10h30.07.996",7.2864,8.4252,"media/Naming/RechtsSchmuSchmi/Standbild1.png","media/Naming/RechtsSchmuSchmi/Standbild2.png","blossin","right","left","right","right","complex labeling",8,0,1,0,"complex labeling_2021-10-29_10h30.07.996","child"
"160",11,"male","2021-11-04_10h17.58.660",6.7073,5.5787,"media/Naming/LinksSchmiSchmu/Standbild1.png","media/Naming/LinksSchmiSchmu/Standbild2.png","blossin","left","right","left","right","complex labeling",1,1,1,1,"complex labeling_2021-11-04_10h17.58.660","teen"
"161",11,"male","2021-11-04_10h17.58.660",5.8982,5.8023,"media/Naming/RechtsSchmiSchmu/Standbild1.png","media/Naming/RechtsSchmiSchmu/Standbild2.png","blossin","right","left","right","left","complex labeling",2,1,1,1,"complex labeling_2021-11-04_10h17.58.660","teen"
"162",11,"male","2021-11-04_10h17.58.660",4.9656,4.6394,"media/Naming/RechtsSchmuSchmi/Standbild1.png","media/Naming/RechtsSchmuSchmi/Standbild2.png","blossin","right","left","right","left","complex labeling",3,1,1,1,"complex labeling_2021-11-04_10h17.58.660","teen"
"163",11,"male","2021-11-04_10h17.58.660",8.7826,4.6194,"media/Naming/RechtsSchmiSchmu/Standbild1.png","media/Naming/RechtsSchmiSchmu/Standbild2.png","blossin","right","left","right","left","complex labeling",4,0,0,0,"complex labeling_2021-11-04_10h17.58.660","teen"
"164",11,"male","2021-11-04_10h17.58.660",4.3586,4.6315,"media/Naming/LinksSchmuSchmi/Standbild1.png","media/Naming/LinksSchmuSchmi/Standbild2.png","blossin","left","right","left","right","complex labeling",5,1,1,1,"complex labeling_2021-11-04_10h17.58.660","teen"
"165",11,"male","2021-11-04_10h17.58.660",5.0878,6.0586,"media/Naming/LinksSchmiSchmu/Standbild1.png","media/Naming/LinksSchmiSchmu/Standbild2.png","blossin","left","right","right","left","complex labeling",6,1,1,1,"complex labeling_2021-11-04_10h17.58.660","teen"
"166",11,"male","2021-11-04_10h17.58.660",4.7126,3.8491,"media/Naming/LinksSchmuSchmi/Standbild1.png","media/Naming/LinksSchmuSchmi/Standbild2.png","blossin","left","right","right","left","complex labeling",7,1,1,1,"complex labeling_2021-11-04_10h17.58.660","teen"
"167",11,"male","2021-11-04_10h17.58.660",4.2663,3.6284,"media/Naming/RechtsSchmuSchmi/Standbild1.png","media/Naming/RechtsSchmuSchmi/Standbild2.png","blossin","right","left","left","right","complex labeling",8,1,1,1,"complex labeling_2021-11-04_10h17.58.660","teen"
"172",10,"female","2021-11-04_10h33.31.754",8.6922,5.0086,"media/Naming/RechtsSchmiSchmu/Standbild1.png","media/Naming/RechtsSchmiSchmu/Standbild2.png","blossin","right","left","right","left","complex labeling",1,1,1,1,"complex labeling_2021-11-04_10h33.31.754","teen"
"173",10,"female","2021-11-04_10h33.31.754",5.0477,4.5332,"media/Naming/RechtsSchmiSchmu/Standbild1.png","media/Naming/RechtsSchmiSchmu/Standbild2.png","blossin","right","left","left","right","complex labeling",2,1,1,1,"complex labeling_2021-11-04_10h33.31.754","teen"
"174",10,"female","2021-11-04_10h33.31.754",4.5934,4.1097,"media/Naming/RechtsSchmuSchmi/Standbild1.png","media/Naming/RechtsSchmuSchmi/Standbild2.png","blossin","right","left","right","left","complex labeling",3,1,1,1,"complex labeling_2021-11-04_10h33.31.754","teen"
"175",10,"female","2021-11-04_10h33.31.754",4.0701,4.1955,"media/Naming/LinksSchmuSchmi/Standbild1.png","media/Naming/LinksSchmuSchmi/Standbild2.png","blossin","left","right","left","right","complex labeling",4,1,1,1,"complex labeling_2021-11-04_10h33.31.754","teen"
"176",10,"female","2021-11-04_10h33.31.754",6.5422,4.2305,"media/Naming/LinksSchmuSchmi/Standbild1.png","media/Naming/LinksSchmuSchmi/Standbild2.png","blossin","left","right","left","right","complex labeling",5,0,0,0,"complex labeling_2021-11-04_10h33.31.754","teen"
"177",10,"female","2021-11-04_10h33.31.754",4.9513,4.2421,"media/Naming/LinksSchmiSchmu/Standbild1.png","media/Naming/LinksSchmiSchmu/Standbild2.png","blossin","left","right","left","right","complex labeling",6,1,1,1,"complex labeling_2021-11-04_10h33.31.754","teen"
"178",10,"female","2021-11-04_10h33.31.754",4.5138,4.4441,"media/Naming/RechtsSchmuSchmi/Standbild1.png","media/Naming/RechtsSchmuSchmi/Standbild2.png","blossin","right","left","left","right","complex labeling",7,1,1,1,"complex labeling_2021-11-04_10h33.31.754","teen"
"179",10,"female","2021-11-04_10h33.31.754",5.2218,3.8675,"media/Naming/LinksSchmiSchmu/Standbild1.png","media/Naming/LinksSchmiSchmu/Standbild2.png","blossin","left","right","right","left","complex labeling",8,1,1,1,"complex labeling_2021-11-04_10h33.31.754","teen"
"184",5,"male","2021-11-05_10h05.38.995",8.5908,7.9175,"media/Naming/RechtsSchmuSchmi/Standbild1.png","media/Naming/RechtsSchmuSchmi/Standbild2.png","blossin","right","left","right","left","complex labeling",1,1,1,1,"complex labeling_2021-11-05_10h05.38.995","child"
"185",5,"male","2021-11-05_10h05.38.995",7.525,6.4943,"media/Naming/LinksSchmuSchmi/Standbild1.png","media/Naming/LinksSchmuSchmi/Standbild2.png","blossin","left","right","right","left","complex labeling",2,0,0,0,"complex labeling_2021-11-05_10h05.38.995","child"
"186",5,"male","2021-11-05_10h05.38.995",7.1515,6.2062,"media/Naming/RechtsSchmiSchmu/Standbild1.png","media/Naming/RechtsSchmiSchmu/Standbild2.png","blossin","right","left","right","left","complex labeling",3,0,0,0,"complex labeling_2021-11-05_10h05.38.995","child"
"187",5,"male","2021-11-05_10h05.38.995",11.5003,6.3717,"media/Naming/RechtsSchmiSchmu/Standbild1.png","media/Naming/RechtsSchmiSchmu/Standbild2.png","blossin","right","left","left","right","complex labeling",4,0,0,0,"complex labeling_2021-11-05_10h05.38.995","child"
"188",5,"male","2021-11-05_10h05.38.995",6.4076,5.9205,"media/Naming/LinksSchmiSchmu/Standbild1.png","media/Naming/LinksSchmiSchmu/Standbild2.png","blossin","left","right","right","right","complex labeling",5,0,1,0,"complex labeling_2021-11-05_10h05.38.995","child"
"189",5,"male","2021-11-05_10h05.38.995",5.5984,6.6413,"media/Naming/LinksSchmiSchmu/Standbild1.png","media/Naming/LinksSchmiSchmu/Standbild2.png","blossin","left","right","right","left","complex labeling",6,1,1,1,"complex labeling_2021-11-05_10h05.38.995","child"
"190",5,"male","2021-11-05_10h05.38.995",5.2863,8.2604,"media/Naming/RechtsSchmuSchmi/Standbild1.png","media/Naming/RechtsSchmuSchmi/Standbild2.png","blossin","right","left","right","right","complex labeling",7,0,1,0,"complex labeling_2021-11-05_10h05.38.995","child"
"191",5,"male","2021-11-05_10h05.38.995",6.5971,5.8703,"media/Naming/LinksSchmuSchmi/Standbild1.png","media/Naming/LinksSchmuSchmi/Standbild2.png","blossin","left","right","right","left","complex labeling",8,1,1,1,"complex labeling_2021-11-05_10h05.38.995","child"
"196",5,"male","2021-11-05_10h35.35.200",11.3945,8.2856,"media/Naming/LinksSchmuSchmi/Standbild1.png","media/Naming/LinksSchmuSchmi/Standbild2.png","blossin","left","right","right","left","complex labeling",1,1,1,1,"complex labeling_2021-11-05_10h35.35.200","child"
"197",5,"male","2021-11-05_10h35.35.200",11.7799,12.8296,"media/Naming/RechtsSchmuSchmi/Standbild1.png","media/Naming/RechtsSchmuSchmi/Standbild2.png","blossin","right","left","left","right","complex labeling",2,0,0,0,"complex labeling_2021-11-05_10h35.35.200","child"
"198",5,"male","2021-11-05_10h35.35.200",7.1182,8.4679,"media/Naming/LinksSchmiSchmu/Standbild1.png","media/Naming/LinksSchmiSchmu/Standbild2.png","blossin","left","right","left","right","complex labeling",3,0,0,0,"complex labeling_2021-11-05_10h35.35.200","child"
"199",5,"male","2021-11-05_10h35.35.200",8.3259,8.8862,"media/Naming/LinksSchmiSchmu/Standbild1.png","media/Naming/LinksSchmiSchmu/Standbild2.png","blossin","left","right","left","right","complex labeling",4,1,1,1,"complex labeling_2021-11-05_10h35.35.200","child"
"200",5,"male","2021-11-05_10h35.35.200",8.4547,14.077,"media/Naming/LinksSchmuSchmi/Standbild1.png","media/Naming/LinksSchmuSchmi/Standbild2.png","blossin","left","right","left","left","complex labeling",5,1,0,0,"complex labeling_2021-11-05_10h35.35.200","child"
"201",5,"male","2021-11-05_10h35.35.200",5.2836,18.525,"media/Naming/RechtsSchmiSchmu/Standbild1.png","media/Naming/RechtsSchmiSchmu/Standbild2.png","blossin","right","left","left","right","complex labeling",6,1,1,1,"complex labeling_2021-11-05_10h35.35.200","child"
"202",5,"male","2021-11-05_10h35.35.200",5.8345,11.0611,"media/Naming/RechtsSchmuSchmi/Standbild1.png","media/Naming/RechtsSchmuSchmi/Standbild2.png","blossin","right","left","right","left","complex labeling",7,0,0,0,"complex labeling_2021-11-05_10h35.35.200","child"
"203",5,"male","2021-11-05_10h35.35.200",6.6295,8.4553,"media/Naming/RechtsSchmiSchmu/Standbild1.png","media/Naming/RechtsSchmiSchmu/Standbild2.png","blossin","right","left","right","left","complex labeling",8,1,1,1,"complex labeling_2021-11-05_10h35.35.200","child"
"208",5,"female","2021-11-05_10h51.07.285",208.9604,76.1398,"media/Naming/LinksSchmuSchmi/Standbild1.png","media/Naming/LinksSchmuSchmi/Standbild2.png","blossin","left","right","left","left","complex labeling",1,1,0,0,"complex labeling_2021-11-05_10h51.07.285","child"
"209",5,"female","2021-11-05_10h51.07.285",11.4747,13.9148,"media/Naming/LinksSchmiSchmu/Standbild1.png","media/Naming/LinksSchmiSchmu/Standbild2.png","blossin","left","right","right","left","complex labeling",2,1,1,1,"complex labeling_2021-11-05_10h51.07.285","child"
"210",5,"female","2021-11-05_10h51.07.285",18.4394,15.4293,"media/Naming/LinksSchmuSchmi/Standbild1.png","media/Naming/LinksSchmuSchmi/Standbild2.png","blossin","left","right","left","right","complex labeling",3,0,0,0,"complex labeling_2021-11-05_10h51.07.285","child"
"211",5,"female","2021-11-05_10h51.07.285",12.4715,9.3745,"media/Naming/RechtsSchmuSchmi/Standbild1.png","media/Naming/RechtsSchmuSchmi/Standbild2.png","blossin","right","left","right","left","complex labeling",4,0,0,0,"complex labeling_2021-11-05_10h51.07.285","child"
"212",5,"female","2021-11-05_10h51.07.285",7.3884,7.6664,"media/Naming/RechtsSchmiSchmu/Standbild1.png","media/Naming/RechtsSchmiSchmu/Standbild2.png","blossin","right","left","left","right","complex labeling",5,1,1,1,"complex labeling_2021-11-05_10h51.07.285","child"
"213",5,"female","2021-11-05_10h51.07.285",12.2519,5.9673,"media/Naming/RechtsSchmiSchmu/Standbild1.png","media/Naming/RechtsSchmiSchmu/Standbild2.png","blossin","right","left","right","left","complex labeling",6,1,1,1,"complex labeling_2021-11-05_10h51.07.285","child"
"214",5,"female","2021-11-05_10h51.07.285",9.05,7.2017,"media/Naming/LinksSchmiSchmu/Standbild1.png","media/Naming/LinksSchmiSchmu/Standbild2.png","blossin","left","right","left","right","complex labeling",7,1,1,1,"complex labeling_2021-11-05_10h51.07.285","child"
"215",5,"female","2021-11-05_10h51.07.285",9.0113,6.9037,"media/Naming/RechtsSchmuSchmi/Standbild1.png","media/Naming/RechtsSchmuSchmi/Standbild2.png","blossin","right","left","left","right","complex labeling",8,0,0,0,"complex labeling_2021-11-05_10h51.07.285","child"
"220",6,"female","2021-11-05_12h22.36.831",16.781,9.02,"media/Naming/LinksSchmiSchmu/Standbild1.png","media/Naming/LinksSchmiSchmu/Standbild2.png","blossin","left","right","right","left","complex labeling",1,1,1,1,"complex labeling_2021-11-05_12h22.36.831","child"
"221",6,"female","2021-11-05_12h22.36.831",7.321,6.955,"media/Naming/RechtsSchmiSchmu/Standbild1.png","media/Naming/RechtsSchmiSchmu/Standbild2.png","blossin","right","left","right","left","complex labeling",2,1,1,1,"complex labeling_2021-11-05_12h22.36.831","child"
"222",6,"female","2021-11-05_12h22.36.831",6.573,5.705,"media/Naming/LinksSchmiSchmu/Standbild1.png","media/Naming/LinksSchmiSchmu/Standbild2.png","blossin","left","right","left","right","complex labeling",3,1,1,1,"complex labeling_2021-11-05_12h22.36.831","child"
"223",6,"female","2021-11-05_12h22.36.831",5.457,4.373,"media/Naming/RechtsSchmuSchmi/Standbild1.png","media/Naming/RechtsSchmuSchmi/Standbild2.png","blossin","right","left","right","left","complex labeling",4,1,1,1,"complex labeling_2021-11-05_12h22.36.831","child"
"224",6,"female","2021-11-05_12h22.36.831",6.238,6.272,"media/Naming/RechtsSchmiSchmu/Standbild1.png","media/Naming/RechtsSchmiSchmu/Standbild2.png","blossin","right","left","left","left","complex labeling",5,1,0,0,"complex labeling_2021-11-05_12h22.36.831","child"
"225",6,"female","2021-11-05_12h22.36.831",6.707,5.605,"media/Naming/LinksSchmuSchmi/Standbild1.png","media/Naming/LinksSchmuSchmi/Standbild2.png","blossin","left","right","left","right","complex labeling",6,1,1,1,"complex labeling_2021-11-05_12h22.36.831","child"
"226",6,"female","2021-11-05_12h22.36.831",6.106,4.623,"media/Naming/LinksSchmuSchmi/Standbild1.png","media/Naming/LinksSchmuSchmi/Standbild2.png","blossin","left","right","left","left","complex labeling",7,0,1,0,"complex labeling_2021-11-05_12h22.36.831","child"
"227",6,"female","2021-11-05_12h22.36.831",5.989,5.987,"media/Naming/RechtsSchmuSchmi/Standbild1.png","media/Naming/RechtsSchmuSchmi/Standbild2.png","blossin","right","left","left","right","complex labeling",8,1,1,1,"complex labeling_2021-11-05_12h22.36.831","child"
"232",6,"female","2021-11-05_12h35.00.263",13.415,14.849,"media/Naming/RechtsSchmiSchmu/Standbild1.png","media/Naming/RechtsSchmiSchmu/Standbild2.png","blossin","right","left","left","right","complex labeling",1,1,1,1,"complex labeling_2021-11-05_12h35.00.263","child"
"233",6,"female","2021-11-05_12h35.00.263",8.852,5.707,"media/Naming/LinksSchmiSchmu/Standbild1.png","media/Naming/LinksSchmiSchmu/Standbild2.png","blossin","left","right","right","left","complex labeling",2,0,0,0,"complex labeling_2021-11-05_12h35.00.263","child"
"234",6,"female","2021-11-05_12h35.00.263",7.255,7.755,"media/Naming/LinksSchmuSchmi/Standbild1.png","media/Naming/LinksSchmuSchmi/Standbild2.png","blossin","left","right","right","left","complex labeling",3,1,1,1,"complex labeling_2021-11-05_12h35.00.263","child"
"235",6,"female","2021-11-05_12h35.00.263",6.606,5.605,"media/Naming/RechtsSchmiSchmu/Standbild1.png","media/Naming/RechtsSchmiSchmu/Standbild2.png","blossin","right","left","right","left","complex labeling",4,1,1,1,"complex labeling_2021-11-05_12h35.00.263","child"
"236",6,"female","2021-11-05_12h35.00.263",6.506,5.622,"media/Naming/LinksSchmuSchmi/Standbild1.png","media/Naming/LinksSchmuSchmi/Standbild2.png","blossin","left","right","right","left","complex labeling",5,0,0,0,"complex labeling_2021-11-05_12h35.00.263","child"
"237",6,"female","2021-11-05_12h35.00.263",6.972,5.638,"media/Naming/LinksSchmiSchmu/Standbild1.png","media/Naming/LinksSchmiSchmu/Standbild2.png","blossin","left","right","right","left","complex labeling",6,1,1,1,"complex labeling_2021-11-05_12h35.00.263","child"
"238",6,"female","2021-11-05_12h35.00.263",6.122,6.67,"media/Naming/RechtsSchmuSchmi/Standbild1.png","media/Naming/RechtsSchmuSchmi/Standbild2.png","blossin","right","left","right","right","complex labeling",7,1,0,0,"complex labeling_2021-11-05_12h35.00.263","child"
"239",6,"female","2021-11-05_12h35.00.263",6.338,5.523,"media/Naming/RechtsSchmuSchmi/Standbild1.png","media/Naming/RechtsSchmuSchmi/Standbild2.png","blossin","right","left","left","right","complex labeling",8,1,1,1,"complex labeling_2021-11-05_12h35.00.263","child"
"244",5,"male","2021-11-05_12h43.16.644",12.2407,7.7292,"media/Naming/RechtsSchmiSchmu/Standbild1.png","media/Naming/RechtsSchmiSchmu/Standbild2.png","blossin","right","left","right","left","complex labeling",1,1,1,1,"complex labeling_2021-11-05_12h43.16.644","child"
"245",5,"male","2021-11-05_12h43.16.644",8.2395,9.1087,"media/Naming/LinksSchmiSchmu/Standbild1.png","media/Naming/LinksSchmiSchmu/Standbild2.png","blossin","left","right","right","left","complex labeling",2,1,1,1,"complex labeling_2021-11-05_12h43.16.644","child"
"246",5,"male","2021-11-05_12h43.16.644",9.2985,6.1566,"media/Naming/RechtsSchmiSchmu/Standbild1.png","media/Naming/RechtsSchmiSchmu/Standbild2.png","blossin","right","left","left","right","complex labeling",3,1,1,1,"complex labeling_2021-11-05_12h43.16.644","child"
"247",5,"male","2021-11-05_12h43.16.644",7.4228,6.4458,"media/Naming/LinksSchmiSchmu/Standbild1.png","media/Naming/LinksSchmiSchmu/Standbild2.png","blossin","left","right","right","left","complex labeling",4,0,0,0,"complex labeling_2021-11-05_12h43.16.644","child"
"248",5,"male","2021-11-05_12h43.16.644",8.7015,6.7103,"media/Naming/RechtsSchmuSchmi/Standbild1.png","media/Naming/RechtsSchmuSchmi/Standbild2.png","blossin","right","left","left","left","complex labeling",5,1,0,0,"complex labeling_2021-11-05_12h43.16.644","child"
"249",5,"male","2021-11-05_12h43.16.644",8.2755,4.2911,"media/Naming/RechtsSchmuSchmi/Standbild1.png","media/Naming/RechtsSchmuSchmi/Standbild2.png","blossin","right","left","right","right","complex labeling",6,1,0,0,"complex labeling_2021-11-05_12h43.16.644","child"
"250",5,"male","2021-11-05_12h43.16.644",7.8111,4.8696,"media/Naming/LinksSchmuSchmi/Standbild1.png","media/Naming/LinksSchmuSchmi/Standbild2.png","blossin","left","right","right","right","complex labeling",7,1,0,0,"complex labeling_2021-11-05_12h43.16.644","child"
"251",5,"male","2021-11-05_12h43.16.644",8.1963,4.9771,"media/Naming/LinksSchmuSchmi/Standbild1.png","media/Naming/LinksSchmuSchmi/Standbild2.png","blossin","left","right","left","left","complex labeling",8,1,0,0,"complex labeling_2021-11-05_12h43.16.644","child"
"256",6,"male","2022-04-27_09h47.13.258",10.4152,7.8584,"media/Naming/LinksSchmuSchmi/Standbild1.png","media/Naming/LinksSchmuSchmi/Standbild2.png","blossin","left","right","left","right","complex labeling",1,1,1,1,"complex labeling_2022-04-27_09h47.13.258","child"
