"","age","sex","date","responsetime1","responsetime2","still1","still2","method","sideCile1","sideCile2","picked_ball1","picked_ball2","condition","trial","correct_first","correct_second","correct_all","id","agecat"
"101",5,"female","2021-10-25_13h36.43.623",5.5661,8.6001,"media/Naming/LinksSchmuSchmi/Standbild1.png","media/Naming/LinksSchmuSchmi/Standbild2.png","blossin","left","right","right","left","complex labeling",2,0,0,0,"complex labeling_2021-10-25_13h36.43.623","child"
"102",5,"female","2021-10-25_13h36.43.623",6.6678,5.1296,"media/Naming/LinksSchmuSchmi/Standbild1.png","media/Naming/LinksSchmuSchmi/Standbild2.png","blossin","left","right","left","left","complex labeling",3,0,1,0,"complex labeling_2021-10-25_13h36.43.623","child"
"103",5,"female","2021-10-25_13h36.43.623",6.4423,4.1687,"media/Naming/RechtsSchmuSchmi/Standbild1.png","media/Naming/RechtsSchmuSchmi/Standbild2.png","blossin","right","left","left","left","complex labeling",4,0,1,0,"complex labeling_2021-10-25_13h36.43.623","child"
"104",5,"female","2021-10-25_13h36.43.623",6.4755,5.5171,"media/Naming/LinksSchmiSchmu/Standbild1.png","media/Naming/LinksSchmiSchmu/Standbild2.png","blossin","left","right","left","left","complex labeling",5,0,1,0,"complex labeling_2021-10-25_13h36.43.623","child"
"105",5,"female","2021-10-25_13h36.43.623",6.4246,4.4511,"media/Naming/RechtsSchmiSchmu/Standbild1.png","media/Naming/RechtsSchmiSchmu/Standbild2.png","blossin","right","left","right","right","complex labeling",6,0,1,0,"complex labeling_2021-10-25_13h36.43.623","child"
"106",5,"female","2021-10-25_13h36.43.623",5.7902,5.348,"media/Naming/LinksSchmiSchmu/Standbild1.png","media/Naming/LinksSchmiSchmu/Standbild2.png","blossin","left","right","right","right","complex labeling",7,0,1,0,"complex labeling_2021-10-25_13h36.43.623","child"
"107",5,"female","2021-10-25_13h36.43.623",5.375,4.4953,"media/Naming/RechtsSchmiSchmu/Standbild1.png","media/Naming/RechtsSchmiSchmu/Standbild2.png","blossin","right","left","left","left","complex labeling",8,0,1,0,"complex labeling_2021-10-25_13h36.43.623","child"
"112",5,"male","2021-10-29_09h28.28.361",13.1805,8.6477,"media/Naming/LinksSchmiSchmu/Standbild1.png","media/Naming/LinksSchmiSchmu/Standbild2.png","blossin","left","right","right","left","complex labeling",1,1,1,1,"complex labeling_2021-10-29_09h28.28.361","child"
"113",5,"male","2021-10-29_09h28.28.361",8.557,8.3734,"media/Naming/LinksSchmuSchmi/Standbild1.png","media/Naming/LinksSchmuSchmi/Standbild2.png","blossin","left","right","right","left","complex labeling",2,1,1,1,"complex labeling_2021-10-29_09h28.28.361","child"
"114",5,"male","2021-10-29_09h28.28.361",6.1803,6.398,"media/Naming/RechtsSchmiSchmu/Standbild1.png","media/Naming/RechtsSchmiSchmu/Standbild2.png","blossin","right","left","left","right","complex labeling",3,1,1,1,"complex labeling_2021-10-29_09h28.28.361","child"
"115",5,"male","2021-10-29_09h28.28.361",7.0802,6.3232,"media/Naming/LinksSchmiSchmu/Standbild1.png","media/Naming/LinksSchmiSchmu/Standbild2.png","blossin","left","right","right","left","complex labeling",4,0,0,0,"complex labeling_2021-10-29_09h28.28.361","child"
"116",5,"male","2021-10-29_09h28.28.361",6.6637,6.7051,"media/Naming/RechtsSchmiSchmu/Standbild1.png","media/Naming/RechtsSchmiSchmu/Standbild2.png","blossin","right","left","left","left","complex labeling",5,0,1,0,"complex labeling_2021-10-29_09h28.28.361","child"
"117",5,"male","2021-10-29_09h28.28.361",5.5802,5.437,"media/Naming/LinksSchmuSchmi/Standbild1.png","media/Naming/LinksSchmuSchmi/Standbild2.png","blossin","left","right","left","right","complex labeling",6,1,1,1,"complex labeling_2021-10-29_09h28.28.361","child"
"118",5,"male","2021-10-29_09h28.28.361",5.5308,4.7572,"media/Naming/RechtsSchmuSchmi/Standbild1.png","media/Naming/RechtsSchmuSchmi/Standbild2.png","blossin","right","left","left","right","complex labeling",7,0,0,0,"complex labeling_2021-10-29_09h28.28.361","child"
"119",5,"male","2021-10-29_09h28.28.361",4.4623,4.5668,"media/Naming/RechtsSchmuSchmi/Standbild1.png","media/Naming/RechtsSchmuSchmi/Standbild2.png","blossin","right","left","left","left","complex labeling",8,1,0,0,"complex labeling_2021-10-29_09h28.28.361","child"
"124",5,"male","2021-10-29_09h43.44.588",30.3303,17.7793,"media/Naming/RechtsSchmiSchmu/Standbild1.png","media/Naming/RechtsSchmiSchmu/Standbild2.png","blossin","right","left","right","left","complex labeling",1,0,0,0,"complex labeling_2021-10-29_09h43.44.588","child"
"125",5,"male","2021-10-29_09h43.44.588",9.3734,10.0296,"media/Naming/RechtsSchmuSchmi/Standbild1.png","media/Naming/RechtsSchmuSchmi/Standbild2.png","blossin","right","left","right","left","complex labeling",2,1,1,1,"complex labeling_2021-10-29_09h43.44.588","child"
"126",5,"male","2021-10-29_09h43.44.588",8.0041,12.2711,"media/Naming/RechtsSchmuSchmi/Standbild1.png","media/Naming/RechtsSchmuSchmi/Standbild2.png","blossin","right","left","left","left","complex labeling",3,1,0,0,"complex labeling_2021-10-29_09h43.44.588","child"
"127",5,"male","2021-10-29_09h43.44.588",8.5124,8.1103,"media/Naming/RechtsSchmiSchmu/Standbild1.png","media/Naming/RechtsSchmiSchmu/Standbild2.png","blossin","right","left","right","left","complex labeling",4,1,1,1,"complex labeling_2021-10-29_09h43.44.588","child"
"128",5,"male","2021-10-29_09h43.44.588",6.0671,6.5572,"media/Naming/LinksSchmuSchmi/Standbild1.png","media/Naming/LinksSchmuSchmi/Standbild2.png","blossin","left","right","right","left","complex labeling",5,1,1,1,"complex labeling_2021-10-29_09h43.44.588","child"
"129",5,"male","2021-10-29_09h43.44.588",5.7626,5.8167,"media/Naming/LinksSchmiSchmu/Standbild1.png","media/Naming/LinksSchmiSchmu/Standbild2.png","blossin","left","right","right","left","complex labeling",6,1,1,1,"complex labeling_2021-10-29_09h43.44.588","child"
"130",5,"male","2021-10-29_09h43.44.588",5.0031,5.0901,"media/Naming/LinksSchmuSchmi/Standbild1.png","media/Naming/LinksSchmuSchmi/Standbild2.png","blossin","left","right","left","right","complex labeling",7,1,1,1,"complex labeling_2021-10-29_09h43.44.588","child"
"131",5,"male","2021-10-29_09h43.44.588",5.6753,6.3884,"media/Naming/LinksSchmiSchmu/Standbild1.png","media/Naming/LinksSchmiSchmu/Standbild2.png","blossin","left","right","left","left","complex labeling",8,1,0,0,"complex labeling_2021-10-29_09h43.44.588","child"
"136",5,"male","2021-10-29_09h57.21.060",10.0919,8.8154,"media/Naming/RechtsSchmuSchmi/Standbild1.png","media/Naming/RechtsSchmuSchmi/Standbild2.png","blossin","right","left","right","left","complex labeling",1,1,1,1,"complex labeling_2021-10-29_09h57.21.060","child"
"137",5,"male","2021-10-29_09h57.21.060",7.6919,7.2519,"media/Naming/RechtsSchmiSchmu/Standbild1.png","media/Naming/RechtsSchmiSchmu/Standbild2.png","blossin","right","left","left","right","complex labeling",2,1,1,1,"complex labeling_2021-10-29_09h57.21.060","child"
"138",5,"male","2021-10-29_09h57.21.060",6.7592,7.396,"media/Naming/LinksSchmiSchmu/Standbild1.png","media/Naming/LinksSchmiSchmu/Standbild2.png","blossin","left","right","left","right","complex labeling",3,0,0,0,"complex labeling_2021-10-29_09h57.21.060","child"
